Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,Bookings,All,BK_total_discount_transaction_count,Total Discount Transaction Count,Long,Count of all discount transactions done by customer,0,BK,0
Transactional,Bookings,All,BK_total_discount_transaction_size,Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,BK,0
Transactional,Bookings,All,BK_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Double,Percent of discount transactions count out of total transactions count,0,BK,0
Transactional,Bookings,All,BK_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,0,BK,0
Transactional,Bookings,All,BK_total_cashback_transaction_count,Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,0,BK,0
Transactional,Bookings,All,BK_total_cashback_transaction_size,Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,1,BK,1
Transactional,Bookings,All,BK_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Double,Percent of cashback transactions count out of total transactions count,0,BK,0
Transactional,Bookings,All,BK_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,0,BK,0
Transactional,Ecommerce,All,EC_total_transaction_count,Total Transaction Count,Long,Count of all transactions done by customer,1,EC,1
Transactional,Ecommerce,All,EC_total_transaction_size,Total Transaction Size,Double,Amount of all transactions done by customer,1,EC,1
Transactional,Ecommerce,All,EC_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customer,1,EC,1
Transactional,Ecommerce,All,EC_first_transaction_size,First Transaction Size,Double,Amount of first transaction made by customer,1,EC,1
Transactional,Ecommerce,All,EC_first_transaction_date,First Transaction Date,Date,Date at which first transaction was made by customer,1,EC,1
Transactional,Ecommerce,All,EC_last_transaction_size,Last Transaction Size,Double,Amount of last transaction made by customer,1,EC,1
Transactional,Ecommerce,All,EC_last_transaction_date,Last Transaction Date,Date,Date at which last transaction was made by customer,1,EC,1
Transactional,Ecommerce,All,EC_total_discount_transaction_count,Total Discount Transaction Count,Long,Count of all discount transactions done by customer,1,EC,1
